aX,aY,aZ,gX,gY,gZ
0.093,0.108,0.113,-67.505,52.979,-95.276
0.016,0.060,0.099,-57.617,42.847,-89.050
-0.042,0.003,0.080,-49.683,34.546,-81.604
-0.075,-0.051,0.058,-45.105,29.785,-74.158
-0.094,-0.080,0.037,-44.617,28.442,-65.857
-0.101,-0.084,0.034,-46.143,30.090,-57.251
-0.096,-0.067,0.039,-48.279,33.081,-48.828
-0.071,-0.044,0.049,-49.194,35.034,-38.513
-0.024,-0.041,0.064,-46.753,33.752,-28.442
0.038,-0.048,0.084,-39.856,30.640,-21.545
0.089,-0.064,0.095,-28.931,25.208,-15.259
0.123,-0.066,0.075,-16.296,16.602,-8.423
0.132,-0.081,0.043,-4.089,6.775,-2.747
0.136,-0.122,-0.004,6.226,0.366,0.671
0.142,-0.160,-0.045,10.437,-5.554,3.113
0.138,-0.139,-0.070,10.010,-11.414,7.324
0.127,-0.112,-0.084,7.935,-15.686,13.428
0.146,-0.057,-0.091,6.226,-18.555,20.386
0.186,-0.047,-0.068,6.287,-20.386,28.687
0.270,-0.056,-0.036,9.216,-22.217,33.447
0.325,-0.071,-0.021,13.428,-24.292,35.583
0.332,-0.073,0.000,17.883,-27.588,36.804
0.339,-0.113,0.022,22.888,-30.945,36.926
0.354,-0.141,0.034,27.161,-30.762,37.903
0.344,-0.148,0.036,30.212,-29.358,39.185
0.354,-0.132,0.025,31.799,-27.588,41.504
0.366,-0.090,-0.000,32.349,-26.062,46.082
0.386,0.005,-0.030,32.837,-25.940,53.223
0.476,0.027,-0.042,34.119,-26.672,62.500
0.575,0.007,-0.045,34.607,-27.344,72.266
0.643,0.041,-0.050,35.767,-27.344,80.261
0.727,0.066,-0.065,37.598,-25.208,86.121
0.802,0.048,-0.086,39.856,-20.081,87.830
0.849,0.022,-0.110,42.236,-14.221,84.351
0.859,0.030,-0.155,42.297,-9.827,77.637
0.839,0.043,-0.186,39.978,-6.653,72.571
0.834,0.067,-0.190,36.560,-3.845,69.885
0.859,0.099,-0.161,32.104,-2.502,68.359
0.883,0.125,-0.134,26.245,-5.310,67.444
0.916,0.126,-0.118,18.188,-11.230,67.444
0.948,0.129,-0.112,10.925,-17.761,66.162
0.962,0.150,-0.103,5.188,-24.109,62.744
0.968,0.159,-0.079,2.502,-27.832,60.120
1.006,0.106,-0.017,2.258,-26.184,59.326
1.051,0.038,-0.004,5.676,-20.508,58.716
1.071,0.039,-0.026,8.850,-15.991,55.603
1.179,0.188,-0.102,7.324,-15.625,52.612
1.287,0.419,-0.059,6.836,-10.925,52.063
1.415,0.458,-0.022,6.470,-17.395,68.970
1.413,0.424,-0.093,-6.958,-61.829,96.130
1.510,0.423,-0.082,4.272,-80.139,91.980
1.547,0.412,-0.008,14.282,-83.679,79.651
1.478,0.386,-0.029,16.724,-89.233,73.425
