aX,aY,aZ,gX,gY,gZ
0.975,-0.112,0.041,-5.371,16.968,11.719
0.967,-0.165,0.039,-18.066,20.752,17.395
0.968,-0.219,0.081,-19.775,25.330,21.606
1.009,-0.273,0.101,-19.714,27.405,25.940
1.053,-0.286,0.110,-19.287,25.085,28.625
1.091,-0.287,0.160,-16.663,20.508,31.555
1.144,-0.297,0.210,-11.597,12.573,35.278
1.187,-0.314,0.247,-2.930,4.150,36.499
1.222,-0.370,0.270,8.301,-2.136,33.264
1.254,-0.474,0.288,19.104,-4.761,27.466
1.271,-0.579,0.282,26.611,-4.150,19.897
1.298,-0.672,0.270,29.846,0.244,10.986
1.271,-0.761,0.230,30.457,8.179,1.709
1.302,-0.737,0.215,31.128,17.883,-7.568
1.250,-0.765,0.166,33.081,27.771,-13.184
1.217,-0.825,0.231,32.715,36.316,-15.320
1.185,-0.809,0.086,25.696,40.588,-21.545
1.159,-0.773,0.024,21.301,48.523,-20.203
1.116,-0.782,0.002,13.123,56.824,-10.559
1.148,-0.803,0.070,4.761,62.927,2.869
1.252,-0.894,0.194,7.751,60.425,12.085
1.214,-0.879,0.074,18.188,39.978,11.536
1.151,-0.817,-0.016,18.616,23.437,13.428
1.113,-0.825,-0.068,19.714,13.062,23.132
1.099,-0.819,-0.089,22.217,4.578,31.189
1.064,-0.781,-0.167,16.846,-5.249,37.292
1.009,-0.692,-0.246,6.653,-15.015,41.199
0.928,-0.577,-0.275,-3.235,-19.714,41.443
0.847,-0.476,-0.293,-12.146,-21.545,41.504
0.773,-0.407,-0.302,-23.193,-20.935,41.321
0.665,-0.311,-0.321,-36.438,-19.714,40.466
0.546,-0.115,-0.341,-49.011,-16.235,38.269
0.451,0.194,-0.314,-57.007,-6.531,37.292
0.407,0.489,-0.257,-57.678,4.700,39.978
0.399,0.689,-0.267,-51.758,16.052,43.579
0.407,0.787,-0.309,-43.762,27.954,47.852
0.461,0.914,-0.367,-37.781,41.748,49.805
